SMILES,Tg,Tm
*OC(=O)c1ccc(SCCCCSc2ccc(C(*)=O)cc2)cc1,62.0,206.0
*Cc1ccc(CSSS*)cc1,8.0,160.0
*Sc1c(C)cc(*)cc1C,198.0,180.0
*Sc1cccc(Sc2ccc(Sc3ccc(*)cc3)cc2)c1,69.0,198.0
*Oc1ccc(OC(=O)c2cccc(Sc3ccc(OC(=O)c4ccc(C(=O)Oc5ccc(Sc6cccc(C(*)=O)c6)cc5)cc4)cc3)c2)cc1C,106.5,292.35
*CCc1ccc(*)s1,26.0,166.0
*/C(OC)=C(\OC)c1ccc(*)s1,91.0,154.0
*CCOC(=O)CCC(=O)O*,-11.1,103.0
*CCCOC(=O)CCC(=O)O*,-34.7,47.0
*CCCCOC(=O)CCC(=O)O*,-32.0,113.0
*CCCOC(=O)CCCC(=O)O*,-33.0,46.5
*CCOC(=O)CCCCC(=O)O*,-54.5,49.5
*CCCOC(=O)CCCCC(=O)O*,-55.0,36.5
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,-68.0,77.0
*CCCOC(=O)CCCCCCC(=O)O*,-52.5,52.0
*CCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-22.0,77.0
*CCOC(=O)CCCCCCCC(=O)O*,-45.0,47.0
*CCOC(=O)CCCCCCCCC(=O)O*,-23.0,76.0
*CCCCOC(=O)CCCCCCCCC(=O)O*,-57.0,64.39
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,-38.0,68.5
*CCOC(=O)c1ccc(C(=O)O*)cc1,77.0,253.0
*CCOC(=O)c1cccc(C(=O)O*)c1,58.0,141.0
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,48.4,224.1
*CCCCOC(=O)c1cccc(C(=O)O*)c1,19.0,130.0
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,16.0,134.0
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,13.0,154.0
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,10.5,131.0
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,84.5,289.0
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC(*)=O)c(Cl)c2)cc1Cl,100.0,263.0
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,201.0,371.0
*Oc1ccc(Cc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,150.0,348.0
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,180.0,282.0
*CCOC(=O)c1ccc2ccc(C(=O)O*)cc2c1,119.0,270.0
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,120.0,268.1
*CCCCCC(=O)S*,19.0,105.65
*CCCCCCOC(=O)CCC(=O)O*,-50.0,54.0
*CCCCOC(=O)CCCCC(=O)O*,-66.0,55.6
*CCCCCOC(=O)CCCCC(=O)O*,-69.0,40.0
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,77.8,224.8
*CC#CCOC(=O)CCCCCCCCC(=O)O*,-26.5,62.5
*CCOC(=O)c1ccccc1C(=O)O*,96.5,104.0
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,147.0,228.0
